date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:43	182298/182298	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202026%2004:21:43%20GMT	https://axcera.io/	D:/My%20Web%20Sites/inspo11/axcera.io/index.html	(from )
09:21:43	315236/315236	---MCZ	200	added ('OK')	text/css	etag:W/%22ff73009e661f2e665906416c58897caf%22	https://cdn.prod.website-files.com/686e53fd3445aa7ef16e612f/css/axcera-staging.webflow.shared.178b18c2b.min.css	D:/My%20Web%20Sites/inspo11/cdn.prod.website-files.com/686e53fd3445aa7ef16e612f/css/axcera-staging.webflow.shared.178b18c2b.min.css	(from https://axcera.io/)
09:21:44	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/My%20Web%20Sites/inspo11/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://axcera.io/)
09:21:44	720/720	---M--	200	added ('OK')	image/png	etag:%2262b958b4b33896a7f3fe66a5dfc59380%22	https://cdn.prod.website-files.com/686e53fd3445aa7ef16e612f/68dfaf4af34d8e29f6e91800_favicon.png	D:/My%20Web%20Sites/inspo11/cdn.prod.website-files.com/686e53fd3445aa7ef16e612f/68dfaf4af34d8e29f6e91800_favicon.png	(from https://axcera.io/)
09:21:44	4667/4667	---M--	200	added ('OK')	image/png	etag:%22d5d7c404ebb5a7e70d2a96b64176fdd7%22	https://cdn.prod.website-files.com/686e53fd3445aa7ef16e612f/68dfaf4bed381716342b8134_webclip.png	D:/My%20Web%20Sites/inspo11/cdn.prod.website-files.com/686e53fd3445aa7ef16e612f/68dfaf4bed381716342b8134_webclip.png	(from https://axcera.io/)
09:21:45	1589/1589	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2016%20Mar%202026%2004:21:45%20GMT	https://www.google.com/recaptcha/api.js	D:/My%20Web%20Sites/inspo11/www.google.com/recaptcha/api.js	(from https://axcera.io/)
09:21:45	25243/25243	---M-Z	200	added ('OK')	application/javascript	etag:%22629b-641e5e82645f3-gzip%22	https://cdn-cookieyes.com/client_data/6f385bbb18301c341319492d/script.js	D:/My%20Web%20Sites/inspo11/cdn-cookieyes.com/client_data/6f385bbb18301c341319492d/script.js	(from https://axcera.io/)
09:21:45	72435/72435	---M-Z	200	added ('OK')	application/javascript	etag:W/%2211af3-+hrqvOrREkFgfZJJ/yDIvLusIBI%22	https://cdn.jsdelivr.net/npm/gsap@3.13.0/dist/gsap.min.js	D:/My%20Web%20Sites/inspo11/cdn.jsdelivr.net/npm/gsap@3.13.0/dist/gsap.min.js	(from https://axcera.io/)
09:21:45	44157/44157	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ac7d-7NMkL12seWuNIF1AhNh30GY+BA8%22	https://cdn.jsdelivr.net/npm/gsap@3.13.0/dist/ScrollTrigger.min.js	D:/My%20Web%20Sites/inspo11/cdn.jsdelivr.net/npm/gsap@3.13.0/dist/ScrollTrigger.min.js	(from https://axcera.io/)
09:21:46	7247/7247	---M-Z	200	added ('OK')	application/javascript	etag:W/%221c4f-9ZeT9jYPs5EmYc7GynISX56f8MU%22	https://cdn.jsdelivr.net/npm/gsap@3.13.0/dist/SplitText.min.js	D:/My%20Web%20Sites/inspo11/cdn.jsdelivr.net/npm/gsap@3.13.0/dist/SplitText.min.js	(from https://axcera.io/)
09:21:46	21712/21712	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254d0-gKCr6pJ4AXTlEWk7xdtJFWZ96Ew%22	https://cdn.jsdelivr.net/npm/gsap@3.13.0/dist/MotionPathPlugin.min.js	D:/My%20Web%20Sites/inspo11/cdn.jsdelivr.net/npm/gsap@3.13.0/dist/MotionPathPlugin.min.js	(from https://axcera.io/)
09:21:46	78131/78131	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Feb%202026%2017:37:29%20GMT	https://unpkg.com/@phosphor-icons/web@2.1.1/src/regular/style.css	D:/My%20Web%20Sites/inspo11/unpkg.com/@phosphor-icons/web@2.1.1/src/regular/style.css	(from https://axcera.io/)
09:21:46	85821/85821	---MCZ	200	added ('OK')	text/css	date:Mon,%2016%20Feb%202026%2002:30:43%20GMT	https://unpkg.com/@phosphor-icons/web@2.1.1/src/bold/style.css	D:/My%20Web%20Sites/inspo11/unpkg.com/@phosphor-icons/web@2.1.1/src/bold/style.css	(from https://axcera.io/)
09:21:47	85821/85821	---MCZ	200	added ('OK')	text/css	date:Fri,%2030%20Jan%202026%2020:19:49%20GMT	https://unpkg.com/@phosphor-icons/web@2.1.1/src/fill/style.css	D:/My%20Web%20Sites/inspo11/unpkg.com/@phosphor-icons/web@2.1.1/src/fill/style.css	(from https://axcera.io/)
09:21:47	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%226696a8d8-546c%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	D:/My%20Web%20Sites/inspo11/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	(from https://axcera.io/)
09:21:48	179064/179064	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Mar%202026%2021:42:03%20GMT	https://axcera.io/solutions/prop-crm	D:/My%20Web%20Sites/inspo11/axcera.io/solutions/prop-crm.html	(from https://axcera.io/)
09:21:49	143264/143264	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202026%2022:05:44%20GMT	https://axcera.io/solutions/broker-crm	D:/My%20Web%20Sites/inspo11/axcera.io/solutions/broker-crm.html	(from https://axcera.io/)
09:21:49	122736/122736	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2018:25:03%20GMT	https://axcera.io/solutions/trading-apis	D:/My%20Web%20Sites/inspo11/axcera.io/solutions/trading-apis.html	(from https://axcera.io/)
09:21:49	119555/119555	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202026%2001:54:22%20GMT	https://axcera.io/solutions/risk-guard	D:/My%20Web%20Sites/inspo11/axcera.io/solutions/risk-guard.html	(from https://axcera.io/)
09:21:50	123122/123122	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202026%2013:10:15%20GMT	https://axcera.io/integrations	D:/My%20Web%20Sites/inspo11/axcera.io/integrations.html	(from https://axcera.io/)
09:21:50	273413/273413	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2020:38:35%20GMT	https://axcera.io/blog	D:/My%20Web%20Sites/inspo11/axcera.io/blog.html	(from https://axcera.io/)
09:21:50	127284/127284	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202026%2015:07:00%20GMT	https://axcera.io/about	D:/My%20Web%20Sites/inspo11/axcera.io/about.html	(from https://axcera.io/)
09:21:50	122731/122731	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2021:46:53%20GMT	https://axcera.io/partners	D:/My%20Web%20Sites/inspo11/axcera.io/partners.html	(from https://axcera.io/)
09:21:51	241383/241383	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202026%2017:37:21%20GMT	https://axcera.io/careers	D:/My%20Web%20Sites/inspo11/axcera.io/careers.html	(from https://axcera.io/)
09:21:51	99501/99501	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202026%2013:10:14%20GMT	https://axcera.io/contact	D:/My%20Web%20Sites/inspo11/axcera.io/contact.html	(from https://axcera.io/)
09:21:52	19181/19181	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Mar%202026%2023:14:02%20GMT	https://axcera.io/book-a-demo	D:/My%20Web%20Sites/inspo11/axcera.io/book-a-demo.html	(from https://axcera.io/)
